Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3VPeA7IW68QRNTfgzb6biZ,"Kitchen","SOS Deluxe: LANA","SZA",2024-12-20,172171,63,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.626,0.386,2,-11.323,1,0.0269,0.694,0.00171,0.0811,0.543,80.042,4
spotify:track:0b0Dz0Gi86SVdBxYeiQcCP,"Busy Woman","Short n' Sweet (Deluxe)","Sabrina Carpenter",2025-02-14,186612,83,true,,1970-01-01T00:00:00Z,"pop","Island Records",0.727,0.755,7,-5.152,1,0.036,0.17,0,0.101,0.903,117.015,4
spotify:track:2E7a96qey4AzSOdK6H21vS,"Scorsese Baby Daddy","SOS Deluxe: LANA","SZA",2024-12-20,153911,68,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.746,0.728,4,-6.75,1,0.0299,0.464,0.0000201,0.103,0.795,103.991,4
spotify:track:6s8WSX1MxNThrot8ThI6fG,"4X4","4X4","Travis Scott",2025-01-24,190581,73,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.625,0.847,6,-2.95,0,0.0454,0.0392,0.000108,0.788,0.221,143.023,4
spotify:track:4tfOoCcYPtb08J5HWlSo3r,"Another Life","SOS Deluxe: LANA","SZA",2024-12-20,205214,67,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.332,0.45,7,-8.664,1,0.045,0.68,0.00000883,0.116,0.357,215.338,3
spotify:track:4Wos0h9ECU2Z3oJMTQxpbc,"Read your Mind","emails i can't send","Sabrina Carpenter",2022-07-15,207849,73,false,,1970-01-01T00:00:00Z,"pop","Island Records",0.672,0.803,3,-5.061,0,0.049,0.0111,0,0.0782,0.578,120.058,4
spotify:track:3U3hFkMr0Q90pD24EkE3Pr,"BMF","SOS Deluxe: LANA","SZA",2024-12-20,180746,76,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.792,0.55,10,-8.528,0,0.0307,0.506,0.0166,0.087,0.972,128.023,4
spotify:track:2RdEC8Ff83WkX7kDVCHseE,"party 4 u","how i'm feeling now","Charli xcx",2020-05-15,296653,84,false,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records UK",0.579,0.522,1,-8.393,1,0.0993,0.761,0.0000141,0.655,0.245,79.453,4
spotify:track:0rx7xu0RmZLpJjKNVZjSVv,"Love Hangover (feat. Dominic Fike)","Ruby","JENNIE;Dominic Fike",2025-03-07,180129,74,true,,1970-01-01T00:00:00Z,"k-pop","OA Entertainment/Columbia",0.627,0.781,0,-6.011,0,0.227,0.121,0,0.133,0.581,147.691,4
spotify:track:1g7pFO1WtclKCuIQiS8sNM,"Crybaby","SOS Deluxe: LANA","SZA",2024-12-20,241948,73,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.252,0.482,1,-9.817,1,0.0395,0.658,0.188,0.113,0.426,179.603,3
spotify:track:500l6Cwe40hkPqS7Sf7ufY,"Foreign","Die Lit","Playboi Carti",2018-05-11,142893,69,true,,1970-01-01T00:00:00Z,"rage rap","AWGE Label",0.762,0.705,6,-5.195,0,0.164,0.0906,0,0.17,0.264,122.955,4
spotify:track:3awweDjWIuXNMogMClJnvE,"Sexy to Someone","Charm","Clairo",2024-07-12,207795,71,false,,1970-01-01T00:00:00Z,"bedroom pop","Clairo",0.716,0.545,0,-6.949,0,0.0329,0.352,0.00369,0.101,0.826,98.23,4
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,"No Pole","Love Sick (Deluxe)","Don Toliver",2023-02-28,187613,89,true,,1970-01-01T00:00:00Z,"","Cactus Jack / Atlantic",0.328,0.631,5,-5.169,0,0.0465,0.0714,0,0.567,0.382,85.262,4
spotify:track:37UCSVSqiPGdR1DijOFyYY,"Midnight Sun","Midnight Sun","Zara Larsson",2025-06-13,189898,83,false,,1970-01-01T00:00:00Z,"","Sommer House/Epic",0.693,0.855,9,-4.834,1,0.115,0.0283,0.00000241,0.0884,0.496,150.909,4
spotify:track:2mWfVxEo4xZYDaz0v7hYrN,"Juna","Charm","Clairo",2024-07-12,195109,79,false,,1970-01-01T00:00:00Z,"bedroom pop","Clairo",0.606,0.714,3,-6.244,1,0.0339,0.238,0.098,0.106,0.448,141.512,4
spotify:track:68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti;The Weeknd",2025-03-14,209680,79,true,,1970-01-01T00:00:00Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
spotify:track:6FcDxtnGfsYHOcGkXN2OIG,"Add Up My Love","Charm","Clairo",2024-07-12,205263,70,false,,1970-01-01T00:00:00Z,"bedroom pop","Clairo",0.715,0.621,8,-6.761,1,0.027,0.17,0.0011,0.111,0.769,104.964,4
spotify:track:6jTQijAuYxOd8DjQ8D6UkL,"What Do I Do","SOS Deluxe: LANA","SZA",2024-12-20,167448,66,true,,1970-01-01T00:00:00Z,"r&b","Top Dawg Entertainment/RCA Records",0.68,0.543,8,-8.308,1,0.0505,0.536,0.000929,0.164,0.66,146.037,4
spotify:track:0NUqi0ps17YpLUC3kgsZq0,"DIE TRYING","$ome $exy $ongs 4 U","PARTYNEXTDOOR;Drake;Yebba",2025-02-14,195431,83,true,,1970-01-01T00:00:00Z,"dark r&b,r&b,trap soul,rap","OVO Sound",0.763,0.531,11,-6.154,1,0.0328,0.146,0,0.175,0.665,110.497,4
spotify:track:5c9tBmJKbTdn1vhzXHeAwW,"Sympathy is a knife","BRAT","Charli xcx",2024-06-07,151125,72,true,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.718,0.706,7,-5.596,0,0.0587,0.0539,0,0.41,0.58,131.943,4
spotify:track:02p79mNhUhuHSFShoF4pVf,"INSIDE (FEAT. TRAVIS SCOTT)","HARDSTONE PSYCHO","Don Toliver;Travis Scott",2024-06-25,250200,51,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Atlantic",0.774,0.497,1,-5.515,0,0.0369,0.215,0,0.0778,0.692,120.84,4
spotify:track:1WmBVbFmLt0w6zPP37TeCG,"Illegal","Fancy That","PinkPantheress",2025-05-09,149666,82,false,,1970-01-01T00:00:00Z,"bedroom pop","Warner Records",0.624,0.89,0,-5.209,0,0.0476,0.0684,0.00149,0.187,0.518,141.47,4
spotify:track:5QCfOMH5K7bS4dH7H7PNeI,"Tonight","Fancy That","PinkPantheress",2025-05-09,174880,75,false,,1970-01-01T00:00:00Z,"bedroom pop","Warner Records",0.726,0.919,10,-4.441,0,0.0894,0.0128,0.00143,0.25,0.84,141.419,4
spotify:track:5wNIHa6wvCCKP6fWgo3UAh,"CHAMPAIN & VACAY","JACKBOYS 2","Travis Scott;Don Toliver",2025-07-13,184789,69,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.54,0.692,0,-5.894,0,0.217,0.208,0,0.219,0.236,145.226,4
spotify:track:7CwWhMGWICOl2ICwbk3QTE,"Talk talk featuring troye sivan","Brat and it’s completely different but also still brat","Charli xcx;Troye Sivan",2024-10-11,173076,68,true,,1970-01-01T00:00:00Z,"hyperpop,art pop","Atlantic Records",0.731,0.817,8,-5.595,1,0.0791,0.0196,0.00000613,0.349,0.661,130.032,4
spotify:track:6KS5iyM4uDuJ6oAacMSXha,"Princess Going Digital","Fountain Baby","Amaarae",2023-06-09,189440,63,true,,1970-01-01T00:00:00Z,"alté,afrobeats,afro r&b","Golden Angel/ Interscope Records",0.498,0.729,10,-6.583,0,0.039,0.0251,0.0227,0.233,0.372,130.125,5
spotify:track:6SjxVgMjH3b3AI4wVviZfi,"The aisle","Heaven knows","PinkPantheress",2023-11-10,165773,65,false,,1970-01-01T00:00:00Z,"bedroom pop","Warner Records",0.761,0.8,11,-7.464,1,0.0992,0.0808,0.0762,0.0742,0.792,134.001,4
